date,meeting,vendor,max_amount,has_file,file_count,file_types,attached_files,resolution_text
20240229,"Regular Meeting, 6:00 p.m.",Pennetta Industrial Automation,7261000.0,False,0,,,"BE IT RESOLVED, the Jersey City Board of Education, upon the recommendation of the Superintendent and Acting School Business Administrator, in accordance with N.J.S.A . 18A:21-4 Use of Reserve Accounts and N.J.A.C . 23A:23A-14.1(h)1 Capital Reserve, approve the withdrawal of funds from Capital Reserve, in the amount of $7,261,000.00, to fund the following capital projects: Boiler replacements at Liberty HS, PS#8, PS#16, PS#29 and PS#41, C. Dougherty & Co., Inc., 7 Washington Ave., Paterson, NJ 0"
20240229,"Regular Meeting, 6:00 p.m.",,2074000.0,True,1,PO_FORM,Attc 11.10 - AF10659.pdf (883 KB),"WHEREAS , the Jersey City Public Schools is in need of (PD23-24-MD12-77) Four (4) Sixty (60) Ton Single Package Cooling Units; and WHEREAS , invitations to bid were sent to four (4) vendors and published in two (2) newspapers and the JCBOE website; four (4) response was received and read aloud on Wednesday, February 14, 2024; and WHEREAS , Pennetta Industrial Automation, 17 Industrial Avenue, Little Ferry, New Jersey 07643 was the lowest bidder; now BE IT RESOLVED , the Jersey City Board of Educ"
20240425,"Regular Meeting, 6:00 p.m.",,418000.0,False,0,,,"WHEREAS , a renewal of contract was approved for (PD23-24-CC14-75) Orton Gillingham Certified Training for Teachers K-2 RE-BID, Resolution 8.17 at a Public Meeting held on March 27, 2024 for the fiscal year 2024-2025; and WHEREAS , the District has decided not to renew the contract made to Institute for Multi-Sensory Education for (PD23-24-CC14-75) Orton Gillingham Certified Training for Teachers K-2 RE-BID; now BE IT RESOLVED , the Jersey City Board of Education, upon the recommendation of the "
20240425,"Regular Meeting, 6:00 p.m.",,19500.0,True,1,PO_FORM,"Attc 8.22 - AF10939.pdf (1,475 KB)","WHEREAS , pursuant to N.J.S.A. 18A:18A-42 and based upon the recommendation of the Assistant Superintendent; and WHEREAS , Speranza Theatre, Inc. has offered to renew for year 3 of their contract for (PD22-23-CC8-49) Historical Theatre Camp at a 0% increase for the 2024-2025 school year; now BE IT RESOLVED , the Jersey City Board of Education, upon the recommendation of the Superintendent and Acting School Business Administrator, approves the renewal of the contract for year 3 for the 2024-2025 "
20240425,"Regular Meeting, 6:00 p.m.",,296000.0,True,1,PO_FORM,Attc 8.23 - AF10862.pdf (775 KB),"WHEREAS , pursuant to N.J.S.A. 18A:18A-42 and based upon the recommendation of the Assistant Superintendent; and WHEREAS , Health and Wellness, LLC has offered to renew for year 2 of their contract for (PD23-24-CC9-59 ) Rev. Dr. Ercel Community School (PS#22) Health Clinic & Gladys Cannon Nunery Community School (PS#29) Health Clinic at 0% increase for the 2024-2025 school year; now BE IT RESOLVED , the Jersey City Board of Education, upon the recommendation of the Superintendent and Acting Scho"
20240425,"Regular Meeting, 6:00 p.m.",,35495.0,True,1,PO_FORM,Attc 8.24 - AF10928.pdf (893 KB),"WHEREAS , pursuant to N.J.S.A. 18A:18A-42 and based upon the recommendation of the Assistant Superintendent; and WHEREAS , Team Wilderness has offered to renew for year 3 of their contract for (PD22-23-CC6-46) Outdoor Experience Summer Camp - REBID at 0% increase for the 2024-2025 school year; now BE IT RESOLVED , the Jersey City Board of Education, upon the recommendation of the Superintendent and Acting School Business Administrator, approves the renewal of the contract for year 3 for the 2024"
20240425,"Regular Meeting, 6:00 p.m.",,1176145.0,True,1,PO_FORM,Attc 8.28 - AF11059.pdf (854 KB),"WHEREAS , the Jersey City Public School District is expanding the project (PD23-24-CC15-76) Accelerated Learning High Impact Tutoring which was awarded on December 14, 2023 Resolution 7.03; and WHEREAS , the contract has been expanded to include seven (7) additional schools: P.S.#3, P.S.#5, P.S.#8, P.S.#11, P.S.#28, P.S.#37, and P.S.#38 for the 2023-2024 school year in the amount of $588,000.00; and WHEREAS , Edmentum, is the awarded vendor; now BE IT RESOLVED , the Jersey City Board of Educatio"
20240425,"Regular Meeting, 6:00 p.m.",,45998.85,True,1,PO_FORM,Attc 8.29 - AF11046.pdf (748 KB),"WHEREAS , COR Advantage/HighScope Educational Research Foundation provides the hosting, support and maintenance of annual student licenses proprietary software; and WHEREAS , the hosting, support and maintenance must be renewed annually for continued services; and WHEREAS , this service is exempt from bidding as per 18A:18A-5(19); now BE IT RESOLVED , the Jersey City Board of Education, upon the recommendation of the Superintendent and Acting School Business Administrator, approves the renewal o"
20240425,"Regular Meeting, 6:00 p.m.",,44259.6,True,1,PO_FORM,Attc 10.15 - AF10898.pdf (838 KB),"WHEREAS , the Jersey City Public School District is in need of (PD23-24-88) Purchase of Caps and Gowns; and WHEREAS , a notice was published in two (2) newspapers and the Jersey City Board of Education website; notice of Bid was sent to four (4) vendors; and four (4) bids were received and read aloud on Thursday, March 14, 2024; now BE IT RESOLVED , the Jersey City Board of Education, upon the recommendation of the Superintendent and Acting School Business Administrator, approve the award of a c"
20240425,"Regular Meeting, 6:00 p.m.",,277000.0,True,1,PO_FORM,"Attc 10.16 - AF10801.pdf (1,105 KB)","WHEREAS , ICare 21st Century Initiative, Inc. has offered to renew for year 2 of their contract for (PD23-24-CC8-58) Cisco Certification Network Academy at an 0% increase for the 2024-2025 school year; now BE IT RESOLVED , the Jersey City Board of Education, upon the recommendation of the Superintendent and Acting School Business Administrator, pursuant to N.J.S.A . 18A:18A-42 , approve the renewal of contract for year 2 for the 2024-2025 school year for (PD23-24-CC8-58) Cisco Certification Netw"
20240425,"Regular Meeting, 6:00 p.m.",,15480.0,True,1,PO_FORM,"Attc 10.17 - AF10799.pdf (1,116 KB)","WHEREAS , New Hood Systems Hood Cleaning has offered to renew for year 3 of their contract for (PD22-23-FD13-69) Degreaser and Power Steam Kitchen Ventilation Systems/Repairs/Parts at 0% increase for the 2024-2025 school year; now BE IT RESOLVED , the Jersey City Board of Education, upon the recommendation of the Superintendent and Acting School Business Administrator, pursuant to N.J.S.A . 18A:18A-42 , approve the renewal of the contract for year 3 for the 2024-2025 school year for (PD22-23-FD1"
20240425,"Regular Meeting, 6:00 p.m.",,30000.0,True,1,PO_FORM,"Attc 10.18 - AF10860.pdf (1,112 KB)","WHEREAS , the Jersey City Public Schools District is in need of Equipment Repair Services (Exclusive of Refrigerators and Freezers); and WHEREAS , the District has advertised for Equipment Repair Services (Exclusive of Refrigerators and Freezers) on November 3, 2023 and November 28, 2023, and no bids were received; and WHEREAS , pursuant to N.J.S.A . 18A:18A-5(c) , the District may proceed to obtain pricing without advertising further for bids; and WHEREAS , Malachy Mechanical has submitted a ne"
20240425,"Regular Meeting, 6:00 p.m.",,105697.67,True,1,PO_FORM,Attc 10.20 - AF11085.pdf (971 KB),"WHEREAS, the District is need of a company to host and provide Voice Over Internet Protocol (VOIP) services for its telecommunications system; and WHEREAS, RingCentral, Inc., 20 Davis Drive, Belmont CA, have provided a proposal under the OMNIA Partners National Purchasing Cooperative, Contract #386; and WHEREAS, RingCentral Inc. has previously provided the District Voice Over Internet Protocol (VOIP) services since March of 2021 and their services are satisfactory; now BE IT RESOLVED, the Jersey"
