meeting_date,meeting_name,item_number,category,vendor,dollar_amounts,max_amount,contract_keywords,has_attachment,transparency_gap,file_count,attached_files,item_text_preview
20240111,"Reorganization Meeting In-Person, 6:00 p.m.",,INSURANCE,AXA Equitable Fidelity Investments Great American Life Insurance Company,,0,vendor; insurance,False,True,0,,"BE IT RESOLVED, the Jersey City Board of Education, approve the following vendors to provide tax shelter annuity plans for the Jersey City Public School District: AXA Equitable Fidelity Investments Great American Life Insurance Company VOYA Financial The Legend Group Life Insurance Company of the Southwest (National Life Group) Lincoln Investment Planning, Inc. Primerica Security Benefit AIG Retirement services (formerly VALIC) New England Financial (Metlife)"
20240111,"Reorganization Meeting In-Person, 6:00 p.m.",,INSURANCE,,,0,insurance,False,True,0,,"BE IT RESOLVED, the Jersey City Board of Education hereby designates Alamo Insurance Group, Inc., 55 Flanagan Way, Secaucus, NJ 07094, as the district's Broker of Record for General Liability (Property and Casualty), and to provide Risk Management Services, for the 2024 calendar year."
20240111,"Reorganization Meeting In-Person, 6:00 p.m.",,INSURANCE,,,0,insurance,False,True,0,,"BE IT RESOLVED, the Jersey City Board of Education hereby designates the Alamo Insurance Group, Inc., 55 Flanagan Way, Secaucus, NJ 07094, as the district's Broker of Record for Health Benefits, Prescription and Dental Benefits, for the 2024 calendar year. Originator:  Dr. Dennis R. Frohnapfel, Acting SBA"
20240111,"Reorganization Meeting In-Person, 6:00 p.m.",,OPERATIONS,,$150.00,150.0,nte; transportation; food service,False,True,0,,"BE IT RESOLVED, the Jersey City Board of Education, approve the following Revolving Fund (Petty Cash) accounts, for the period January 1, 2024 thru December 31, 2024, in accordance with N.J.S.A . 18A:19-13 and N.J.A.C . 6A:23A-16-8; and BE IT FURTHER RESOLVED, to disperse a maximum single petty cash expenditure of $150 to any one individual on any one occasion. Schools with 0-500 students $ 750 Schools with 501-1000 900 Schools with 1001-1500 1,000 Schools with 1501 or more students 1,500 Superi"
20240111,"Reorganization Meeting In-Person, 6:00 p.m.",,CONTRACT_GENERAL,,,0,nte,False,True,0,,"BE IT RESOLVED, the Jersey City Board of Education, approve PenServe Plan Services, 102 Trade Zone Drive, West Columbia, SC 29170, to execute all K-12 403(b) and 457(b) plan documents; and to perform all functions deemed necessary or appropriate to execute any amendments required by the Internal Revenue Service in order to continue and maintain the qualified and exempt status of the district's deferred compensation plans."
20240111,"Reorganization Meeting In-Person, 6:00 p.m.",,COMPETITIVE_BID,,,0,contract; bid; award,False,True,0,,"BE IT RESOLVED, the Jersey City Board of Education, authorize Dr. Dennis R. Frohnapfel, Acting School Business Administrator, to award contracts and approve purchases under the bid threshold pursuant to N.J.S.A . 18A:18A-3 ."
20240111,"Reorganization Meeting In-Person, 6:00 p.m.",,COMPETITIVE_BID,,"$44,000.00",44000.0,bid; mou,False,True,0,,"BE IT RESOLVED, the Jersey City Board of Education, establishes the bid threshold at $44,000.00 and set the quote threshold at 15% of bid threshold amount or the amount designated by the State of New Jersey pursuant to N.J.S.A . 18A:18A-3 ."
20240111,"Reorganization Meeting In-Person, 6:00 p.m.",,COMPETITIVE_BID,,,0,contract; vendor; bid,False,True,0,,"BE IT RESOLVED, the Jersey City Board of Education, in compliance with N.J.S.A . 18A:18A-5 permits Boards of Education to purchase textbooks, copyrighted materials, pre-kindergarten and kindergarten supplies, and other library and educational goods and services which exceeds the bid threshold by resolution at a public meeting without public advertising for bids, and N.J.S.A . 18A:18A-10 permits the purchase of any materials, supplies, goods, etc., from State Contracted vendors; and BE IT FURTHER"
20240111,"Reorganization Meeting In-Person, 6:00 p.m.",,OPERATIONS,,"$175,000.00",175000.0,contract; mou; transportation,False,True,0,,"WHEREAS, P.L. 2007, Chapter 53, approved March 15, 2007, requires that school District travel expenditures include, but are not limited to, all costs for transportation, meals, lodging and registration or conference fees to and from the travel event; and WHEREAS, P.L. 2007, Chapter 53, requires school District travel expenditures to include costs for all required training and all travel authorized in existing school District employee contracts and Board Policies, including but not limited to pro"
20240111,"Reorganization Meeting In-Person, 6:00 p.m.",,COMPETITIVE_BID,,,0,contract; vendor; bid; nte,False,True,0,,"WHEREAS, the Jersey City Board of Education, pursuant to N.J.S.A. 18A:18A-10a and N.J.A.C. 5:34-7.29(c) , may by resolution and without advertising for bids, purchase any goods or services under the State of New Jersey Cooperative Purchasing Program for any State Contracts entered into on behalf of the State by the Division of Purchase and Property in the Department of the Treasury upon approval by the Board; and WHEREAS, the Jersey City Board of Education has the need on a timely basis to purch"
